@relation 'statAttr-weka.filters.unsupervised.attribute.Remove-R1-5,7-8,14-16,18-19'

@attribute PMI(BC) numeric
@attribute 'jaccard similarity(AB)' numeric
@attribute 'jaccard similarity(BC)' numeric
@attribute 'NMS similarity(AB)' numeric
@attribute 'NMS similarity(BC)' numeric
@attribute 'ontology mentioned(AB)' numeric
@attribute novel(B) numeric
@attribute label {important,unimportant}

@data
0.149205,0.002408,0.000175,0.357725,0,0,1,unimportant
2.966338,0.002581,0.001418,0.387269,0.250564,0,1,unimportant
-0.658264,0.000643,0.000205,0.207269,0,0,1,unimportant
1.118489,0.000347,0.004966,0.151896,0.381663,0,1,unimportant
-0.315866,0.000036,0.000294,0,0,0,1,unimportant
-2.976847,0.000078,0.00146,0,0.129403,0,1,unimportant
-0.058244,0.000118,0.001056,0.022932,0.118724,0,1,unimportant
-0.046202,0.000136,0.000321,0.038545,0,0,1,unimportant
3.139574,0.000879,0.001285,0.286734,0.264647,0,1,unimportant
0.84025,0.000502,0.000252,0.2008,0.015999,0,1,unimportant
0.526022,0.000114,0.00158,0.018301,0.171229,0,1,unimportant
-0.709782,0.000995,0.000599,0.254492,0.04451,0,1,unimportant
0.711621,0.00011,0.0012,0.010311,0.104544,0,0,unimportant
-1.549538,0.000033,0.000097,0,0,0,1,unimportant
0.279901,0.000306,0.000382,0.135982,0.029867,0,1,unimportant
-1.165006,0.000058,0.00028,0,0,0,1,unimportant
-2.408524,0.000048,0.000366,0,0,0,1,unimportant
-0.859693,0.000109,0.00018,0.013848,0,0,1,unimportant
1.650152,0.000246,0.001788,0.097174,0.157048,0,0,unimportant
-1.593069,0.000821,0.000065,0.231171,0,0,1,unimportant
-0.275939,0.000249,0.000167,0.110463,0,0,1,unimportant
-0.323178,0.0001,0.001249,0.003181,0.135896,0,1,unimportant
0.913067,0.000603,0.000756,0.209343,0.120107,0,1,unimportant
-0.297484,0.000098,0.000493,0.001399,0.011199,0,1,unimportant
-1.152541,0.000087,0.000074,0,0,0,1,unimportant
0.850833,0.000926,0.000386,0.219847,0.154246,0,1,unimportant
2.570625,0.000132,0.001244,0,0.272865,0,0,unimportant
1.252525,0.000161,0.000334,0.018924,0.137207,0,1,unimportant
0.700398,0.000149,0.000154,0.009465,0.052748,0,1,unimportant
1.81136,0.025907,0.00321,0.685632,0.425142,0,1,important
1.628752,0.000681,0.006496,0.351866,0.462243,0,1,important
-0.630425,0.00033,0.00103,0.285229,0.217583,0,1,unimportant
1.034333,0.000102,0.005475,0.179212,0.393669,0,0,unimportant
