@relation 'aggregative attrs'

@attribute count_aw numeric
@attribute count_mw numeric
@attribute 'normalized count_aw' numeric
@attribute 'normalized count_mw' numeric
@attribute PMI_aw numeric
@attribute PMI_mw numeric
@attribute entropy_aw numeric
@attribute entropy_mw numeric
@attribute 'jaccard similarity_aw' numeric
@attribute 'jaccard similarity_mw' numeric
@attribute 'NMS similarity_aw' numeric
@attribute 'NMS similarity_mw' numeric
@attribute 'ontology mentioned_aw' numeric
@attribute 'ontology mentioned_mw' numeric
@attribute frequency(B) numeric
@attribute 'neighbor count(B)' numeric
@attribute novel(B) numeric
@attribute 'time to indication_aw' numeric
@attribute 'time to indication_mw' numeric
@attribute label {important,unimportant}

@data
11,2,0.416666,0.333333,2.986768,2.603836,0.173287,0,0.006777,0.005642,0.511556,0.508506,0,0,427,130,1,1,1,important
18,1,0.801724,0.603448,2.272372,1.263059,0.131313,0,0.007681,0.002791,0.47405,0.415729,0,0,816,316,1,6,3,important
1,1,0.75,0.5,2.41162,1.643259,0,0,0.004084,0.000476,0.422768,0.283839,0,0,120,69,1,26,25,important
5,1,0.280556,0.111111,2.128113,1.797862,0.159129,0,0.002521,0.001248,0.386119,0.352064,0,0,478,249,1,6,1,important
2,1,0.666667,0.333333,3.133298,1.81563,0,0,0.003462,0.00096,0.451589,0.360484,0,0,101,52,1,3,1,important
23.5,2,0.457265,0.222222,1.702284,0.913887,0.295611,0.244648,0.006599,0.000824,0.383244,0.250959,0,0,2314,747,1,1,1,important
1,1,0.555555,0.111111,0.096613,-0.671748,0,0,0.00056,0.000348,0.185138,0.104678,0,0,1215,397,1,12.5,2,important
9.5,1,0.53125,0.5,0.956301,0.279476,0.132427,0,0.002982,0.000978,0.337662,0.273732,1,1,2182,480,1,3,1,important
10,2,0.403508,0.333333,2.325188,1.994937,0.173287,0,0.011582,0.006669,0.539674,0.465939,0,0,785,273,1,1,1,important
2.5,2,0.8,0.6,3.818326,3.252697,0,0,0.003532,0.002915,0.497246,0.476334,0,0,72,49,1,3.5,3,important
44.5,3,0.604975,0.375,3.32402,0.877791,0.015838,0,0.046367,0.003029,0.577604,0.371882,0,0,774,278,1,8,1,important
5,1,0.391667,0.333333,1.685683,1.355432,0,0,0.002775,0.000958,0.361373,0.302254,0,0,744,387,1,1,1,important
3.5,1,0.45,0.4,2.511495,2.383977,0,0,0.002322,0.001513,0.40184,0.382227,0,0,266,141,1,1,1,important
1,1,0.75,0.5,2.535673,1.767312,0,0,0.001679,0.001431,0.411369,0.389592,0,0,106,76,1,5,2,important
3.5,1,0.446429,0.142857,3.189717,3.062198,0.144594,0,0.002374,0.001894,0.439414,0.428566,0,0,135,78,1,1,1,important
3,1,0.727272,0.454545,0.965925,0.929567,0,0,0.001731,0.000735,0.301086,0.257974,0,0,1139,315,1,7,7,important
4.5,1,0.407693,0.2,-0.261215,-0.532574,0,0,0.001009,0.000425,0.189099,0.168833,0,0,4915,1564,0,2.5,1,unimportant
1,1,0.238095,0.142857,1.743791,0.97543,0,0,0.00103,0.000454,0.314222,0.235653,0,0,234,141,1,16.5,8,unimportant
2.5,2,0.292857,0.285714,-0.996452,-1.967546,0.332415,0.318257,0.000696,0.000359,0.131426,0.000945,0,0,8879,1933,1,1,1,unimportant
2,2,1,1,0.62893,-0.139431,0.173287,0,0.001197,0.001175,0.266516,0.233597,0,0,1427,549,1,9.5,7,unimportant
1.5,1,0.3125,0.125,2.741664,2.319877,0,0,0.001419,0.000949,0.386902,0.345726,0,0,122,64,1,7,4,unimportant
